item_id,playtime_forever
4400,0
4410,0
4420,5291
4460,5344
4470,879
4500,1002556
4520,6374
4530,5677
4540,538970
4550,1022013
4560,2003180
4570,744402
4580,1881366
4600,1074
4700,5108834
4720,45332
4730,355
4760,3019744
4770,90058
4790,0
4800,23065
4830,5005
4850,46090
4870,12213
4880,5805
4890,20408
4900,154
4920,6359246
6000,664253
6010,17047
6020,1323500
6030,393149
6040,8368
6060,5318132
6080,22848
6090,646
6100,16671
6120,85322
6200,43255
6210,8226
6220,42577
6250,68213
6270,2925
6290,5540
6300,21296
6310,52528
6330,56382
6340,909
6350,22371
6370,18171
6400,24380
6420,30797
6510,43655
6550,67480
6570,2737
6600,3349
6800,32321
6810,10337
6820,786
6830,46014
6840,20515
6850,163432
6860,1273499
6870,27013
6880,194655
6900,80142
6910,570005
6920,40278
6980,137113
7000,70912
7010,2262
7020,8897
7060,4438
7110,72546
7200,294799
7210,12134
7220,13314
7250,72
7260,2113
7340,0
7400,905
7420,0
7440,2
7450,2203
7470,7813
7500,38522
7510,88676
7520,526043
7530,12043
7600,216479
7610,15397
7620,823
7650,49839
7660,69682
7670,2710399
7730,8847
7740,13972
7760,187144
7770,7416
7780,15
7800,11359
7810,3121
7830,405688
7840,2761
7850,10856
7860,21948
7870,21869
7880,5562
7900,395
7910,4175
7940,2469608
7970,4604
7980,255
7990,344
8000,102745
8010,0
8040,10583
8060,25635
8080,35636
8100,4343
8140,105711
8160,2232
8170,218460
8190,13569635
8200,49151
8210,31288
8220,20060
8240,18970
8250,15572
8260,26254
8270,16853
8280,20409
8290,15598
8300,16991
8310,1462
8320,624
8330,340
8340,14962
8350,10446
8360,6173
8370,4890
8380,3376
8400,74257
8500,5701005
8600,432228
8620,0
8640,73954
8650,75211
8660,976
8690,73921
8790,1999
8800,935509
8840,0
8850,1472716
8870,7621611
8880,34129
8890,13619
8930,82380684
8970,3991
8980,11488444
9000,3329
9010,103106
9030,8996
9040,9449
9050,197894
9060,13420
9070,23905
9160,8080
9180,18718
9200,1424529
9310,295751
9340,829672
9350,369062
9400,22892
9420,2215714
9450,3694776
9460,100664
9480,3272282
9500,12350
9710,1820
9730,1432
9740,10668
9760,11466
9800,15387
9850,6806
9860,66328
9870,93044
9880,2055759
9900,7464778
9930,1038354
9940,42871
9960,359
9970,767
9980,3997
9990,2110
10000,63046
10040,0
10080,2848
10090,7665369
10100,1250
10110,3689
10120,847
10130,38122
10140,9212
10150,751999
10170,41016
10180,5547750
10190,38277867
10220,77290
10230,844
10240,1679
10250,803
10260,2334
10270,13664
10400,42
10410,0
10420,0
10430,46996
10440,0
10460,1433
10470,0
10480,229
10490,0
10500,9994588
10510,0
10520,0
10530,9920
10540,360048
10560,0
10590,6472
10630,0
10650,3013
10660,380
10680,1476299
10690,3922
10700,589
11020,1186028
11040,7558
11050,3609
11060,3722
11120,1663
11130,3404
11140,8630
11150,6543
11170,52668
11180,2413
11190,17658
11200,57968
11230,7992
11240,16469
11250,7245
11260,16490
11280,39978
11330,13461
11340,9719
11360,6668
11370,4185
11390,46249
11420,28970
11440,23908
11450,397501
11480,13146
11500,24634
11520,21866
11550,3913
11560,5413
11590,19624
11610,2973513
11900,8813
11920,2758
12100,304821
12110,814989
12120,3224187
12130,8101
12140,284475
12150,199683
12160,30635
12170,14990
12180,8520
12190,0
12200,1415995
12210,13018876
12220,4127878
12230,21510
12240,50545
12250,425853
12260,115
12300,0
12310,207
12320,74476
12330,28425
12340,7750
12360,161822
12370,42389
12380,3126
12390,917
12400,0
12420,1657
12430,3404
12440,1864
12450,1942
12460,8930
12470,37305
12480,73141
12500,128296
12510,37069
12520,24737
12530,3864
12540,508
12550,211
12560,1053
12570,48
12580,2559
12590,7472
12600,533
12630,1036
12640,11138
12650,0
12660,30
12670,1
12690,5431
12710,305128
12750,752849
12770,15123
12790,15625
12800,135035
12810,583656
12830,199003
12840,461376
12860,55448
12900,1740405
13000,2236
13140,687502
13200,24757
13210,662714
13230,349119
13240,205759
13250,24185
13500,40040
13510,32115
13520,327093
13530,30477
13540,22539
13560,79588
13570,133594
13580,60062
13600,62813
13620,5408
13630,5055
13640,16621
13700,5382
15000,5007
15060,2934
15080,3728
15100,887372
15120,380055
15130,50162
15140,254
15150,1989
15160,61001
15170,362645
15190,56247
15200,39164
15210,80464
15220,2267
15230,6513
15240,14365
15270,1842
15280,209
15290,340
15300,41238
15310,23532
15320,203132
15330,0
15350,0
15370,142140
15380,20611
15390,73325
15400,12399
15500,34115
15520,106328
15540,35774
15560,31203
15620,6080569
15700,268935
15710,154058
15740,63215
15750,105010
15800,0
15900,389
15910,793
15920,5574
15930,3892
15940,27
15950,3050
15960,5004
15970,4197
15980,516
15990,4823
16000,1371
16020,3
16030,2339
16040,2969
16060,27
16090,1
16100,3572
16110,13777
16120,39142
16130,24592
16180,10963
16200,4104
16300,3232
16450,528054
16480,0
16500,22
16600,96475
16620,7584
16700,29378
16710,3350
16720,24979
16730,47723
16810,122422
17020,1609586
17080,3048414
17100,54505
17120,19447
17140,16132
17180,912
17300,934633
17330,183679
17340,46425
17390,3449710
17400,2595
17410,2884325
17420,0
17430,521106
17440,278325
17450,2583332
17460,2902819
17470,944423
17480,1563982
17570,619130
17580,67388
17600,1126
17710,369573
17800,4273
17810,4953
18000,72073
18020,49135
18040,59211
18050,32736
18070,28441
18100,681
18110,62715
18120,5882
18300,23162
18400,38331
18420,8107
18430,0
18450,1761
18460,1681
18470,2227
18480,677
18490,3212
18500,1242313
18600,21485
18700,35790
18820,45240
19000,24153
19020,1885
19030,2467
19080,106
19090,6032
19200,8740
19320,456
19500,1552
19680,365371
19800,33017
19810,17
19830,51988
19840,81
19900,1194748
19930,58535
19980,41208
19990,230
20200,692
20400,0
20500,1230712
20510,515443
20530,116945
20540,1483630
20550,39614
20570,3317749
20700,10074
20710,5694
20820,54569
20840,248075
20900,2491856
20920,4900560
21000,170010
21010,7717
21030,3138
21070,0
21080,6339
21090,348486
21100,729225
21110,60094
21120,64217
21130,197679
21170,346016
21300,714
21400,1058
21500,185
21600,4988
21610,5976
21640,3663
21660,366187
21670,23309
21680,15393
21690,1030532
21730,1536
21750,308
21760,51133
21780,24606
21800,43737
21900,57006
21910,137675
21920,2805
21950,1017
21970,1269206
21980,114349
21990,345
22000,258264
22100,1426071
22120,93432
22130,155429
22140,19735
22180,94492
22200,131103
22230,230586
22300,2149923
22310,9943
22320,1599198
22330,5216628
22340,42057
22350,938182
22370,5762510
22380,34473323
22450,35630
22490,301793
22500,15493
22600,864012
22610,43825
22650,32419
22670,9387
23100,8001
23120,21113
23130,24
23140,2073
23150,732
23200,8376
23300,6867
23310,546283
23360,6380
23380,26550
23390,7545
23400,46133
23420,32643
23440,74
23450,91525
23460,5627
23490,384212
23500,17693
23510,1163
23530,75889
23600,6270
23700,30541
24010,1392968
24120,508
24130,520
24140,3355
24150,1
24170,68752
24210,677
24220,249
24240,9010606
24400,107973
24410,3534
24420,34425
24460,7688
24470,40707
24480,48017
24500,4615
24600,4207
24620,25
24630,13850
24640,3002
24650,1614
24660,32230
24670,132491
24720,1544853
24740,2143124
24760,41
24780,1358050
24790,556946
24800,818077
24810,355778
24820,116
24830,1483
24840,163913
24850,4383
24860,1033103
24870,199359
24960,14029856
24980,4392431
25000,354047
25010,19368
25500,92760
25600,9789
25620,16697
25700,74581
25800,776700
25830,53954
25840,982
25850,43715
25860,74220
25870,102
25890,1473374
25900,247515
25910,178448
25920,0
25930,27051
25940,1104
25980,150695
25990,24562
26000,24374
26300,226
26500,61817
26800,345360
26900,50426
27000,17883
27020,1748
27050,1437
27200,1779
27220,29153
27300,7310
27330,1134
27400,3595
27600,16
27800,340
27810,619
27900,3248
27920,7933
27940,15731
28000,94169
28050,4564563
29110,1
29120,8576
29130,2998
29140,3394
29150,3416
29160,1997
29180,77230
29500,77702
29520,4
29530,2328
29550,0
29640,39064
29650,116333
29680,9662
29720,297624
29800,84294
29900,9955
31100,22123
31110,9672
31120,8183
31130,11312
31170,48310
31180,30479
31190,25820
31200,28147
31210,21363
31220,57895
31230,36656
31240,33143
31250,29344
31260,22280
31270,60636
31280,1955381
31290,100625
31300,35
31410,102465
31500,1645
31700,29382
31800,785
31810,1712
31820,2202
31830,4800
31840,1398
31850,2428
31860,1735
31870,427
31880,1131
31890,1613
31900,850
31910,1588
31920,2564
31930,2211
31980,1173
32000,177
32110,1691
32120,4598
32130,326
32140,1634
32150,18929
32160,22588
32200,16094
32310,3600
32330,31152
32340,4349
32350,66180
32360,128844
32370,2912916
32380,69493
32390,24795
32400,68686
32410,998
32420,51058
32430,712220
32440,619046
32450,155591
32460,68026
32470,1934300
32500,425819
32510,327213
32610,1214
32620,1540
32630,703
32640,911
32650,93
32660,1346
32670,3265
32680,9271
32690,7394
32700,110
32710,26
32720,2487
32730,329
32740,136
32750,497
32760,7349
32770,1196
32800,830926
32900,12800
33100,4811
33110,4778
33120,25777
33130,10793
33180,17559
33210,73084
33220,785012
33230,3223344
33250,8583
33260,11086
33270,99
33280,24811
33320,65036
33340,138571
33350,12858
33390,248
33420,78996
33440,553767
33460,505695
33500,11599
33510,2117
33520,20019
33530,32759
33540,840
33550,29
33570,28761
33580,5642
33600,13697
33610,12745
33620,11079
33650,22466
33660,369
33670,73871
33680,19272
33700,0
33710,0
33720,0
33730,19205
33740,1774
33750,4416
33760,0
33770,10839
33780,55
33790,364
33900,418979
33910,4154131
33930,40473489
33950,3668
33980,4298
33990,851
34000,648381
34010,234659
34030,5735217
34180,140
34190,42024
34220,703461
34270,296875
34330,15089926
34410,10377
34420,1617
34440,59377
34450,2302
34460,69995
34500,4790
34600,114510
34630,1816
34640,2183
34650,3980
34670,754
34800,2210
34810,3034
34820,15365
34830,481614
34860,1576
34870,516831
34900,332222
34920,4218
35000,76434
35010,169078
35030,98
35070,2932
35130,127850
35140,2834784
35300,485
35310,2272
35320,12079
35420,119639
35450,9225814
35460,57795
35470,35
35480,149956
35500,44994
35510,14456
35600,5857
35700,562302
35720,1419758
35800,74722
36000,26158
36100,680
36110,1394
36120,2330
36130,0
36140,0
36150,200
36160,1317
36170,3538
36180,1163
36190,546
36200,378
36210,7292
36240,103
36270,0
36280,0
36290,0
36300,880
36310,920
36320,0
36620,931668
36630,383080
36700,7081
36900,11
36910,69
37000,19588
37010,4884
37030,25854
37100,3414
37200,4024
37210,3360
37220,1910
37230,333
37240,2770
37250,457
37260,470
37270,3016
37280,2379
37290,3
37300,373
37310,821
37320,365
37330,102
37340,22
37350,113
37360,215
37370,48
37380,0
37390,896
37400,12956
37420,13012
37500,2466
37600,9605
37700,34587
37800,3871
37900,5881
37910,664
37920,177
37930,1059
37940,187
37950,49
37960,11166
37970,8490
37980,7685
37990,3890
38000,809
38010,174
38020,699
38030,11
38040,0
38050,1440
38060,14895
38070,373
38080,974
38090,166
38100,297
38110,9967
38120,2229
38130,4731
38140,3904
38150,364
38160,110
38170,7539
38180,1239
38190,146
38200,280
38210,828
38220,36168
38230,5024
38240,372
38400,365367
38410,382964
38420,87675
38430,9524
38440,17408
38450,322
38460,4240
38480,1895
38490,1298
38530,686
38600,289297
38700,75581
38720,98594
38740,80045
38830,262424
38900,26857
39000,396784
39110,2246
39120,7437432
39140,1504005
39150,729564
39160,289722
39190,92002
39200,108916
39210,7562552
39250,335
39260,3480
39300,0
39310,27
39320,2
39330,0
39350,0
39360,0
39370,7
39380,0
39500,65463
39510,79115
39520,4749
39530,85197
39540,79992
39550,70604
39560,12563
39600,926
39610,2
39620,521
39630,1434
39640,2285
39650,87448
39660,33924
39670,21894
39680,235679
39690,105093
39710,16
39800,289256
39900,38
40000,134512
40100,4472940
40200,484
40210,203
40300,203689
40320,3602
40330,9795
40340,2343
40350,4666
40370,22748
40380,21146
40390,284095
40400,208985
40420,7697
40500,3143
40700,148539
40720,6349
40800,2463335
40920,241943
40930,22938
40950,187952
40960,36032
40970,183040
40980,20501
40990,45524
41000,423155
41050,59140
41060,37209
41070,1518355
41100,47629
41210,135848
41300,321753
41400,159
41500,1775093
41600,2030
41660,89
41680,0
41700,1398076
41730,23912
41740,18192
41800,306999
41900,48762
42000,1696
42120,130636
42140,25745
42160,2577694
42170,84895
42200,1354
42210,2796
42220,3975
42230,2190
42500,35524
42640,128773
42650,323127
42660,5
42670,13382
42680,4920089
42690,25327699
42700,8752303
42710,24607492
42730,7871
42800,973
42810,3914
42820,123
42830,141
42850,146832
42870,1403
42890,45335
42910,7029628
42920,21507
42930,1904
42940,4081
42950,4417
42960,1814459
42980,13761
42990,111393
43000,72713
43100,23535
43110,2604580
43160,1954003
43190,31501
43500,7326
43600,1672
44000,560
44100,5180
44200,16926
44310,146817
44320,849295
44340,119070
44350,1322925
44360,86317
44600,2191
44620,73888
44630,73958
44650,73877
44660,73871
44670,73869
44680,73892
44690,5008
45000,131952
45100,162981
45300,246339
45400,49970
45410,11469
45450,38655
45500,25222
45700,293811
45710,5562
45720,8662
45730,1611
45740,838326
45750,126411
45760,3461792
45770,329246
45900,889
46000,9069
46200,594
46210,208
46220,152
46230,569
46250,6644
46260,44889
46270,5325
46280,4563
46290,8911
46320,2338
46330,20534
46340,14685
46350,908
46360,8807
46370,16278
46380,3240
46400,13097
46410,19302
46420,13395
46430,28721
46440,6420
46450,41449
46460,6867
46480,19137
46490,8132
46500,57243
46510,27833
46520,4780
46540,34832
46550,76107
46560,80550
46570,9196
46600,3320
46700,407
46710,346
46720,406
46730,1993
46740,175891
46750,13302
46760,582
46770,63147
46790,10559
46830,747
46840,145
46850,2872
47000,33924
47110,1026
47120,0
47130,310
47400,316890
47410,5788261
47500,2007
47520,635
47540,126887
47570,509
47700,209578
47730,2131
47780,638127
47790,430740
47800,50552
47810,3510522
47830,430959
47850,3183
47870,1216877
47890,6412164
47900,564409
47920,190999
48000,858075
48110,79585
48120,158946
48150,592
48160,19335
48180,71336
48190,2304501
48210,273784
48220,1526309
48240,2666912
48700,39616648
48720,2724003
48800,137588
48900,5481
48950,52995
49000,1062
49300,14884
49320,956
49330,19795
49400,243055
49470,943833
49520,80428584
49540,532083
49600,493469
49700,2540
49800,18141
49810,2972
49900,44755
50000,9784
50120,5229
50130,2824310
50300,1097938
50310,148162
50400,88
50510,7301
50620,1673629
50640,2434
50650,2018300
50800,640
50820,24420
50900,547
50910,3
50920,626
50930,200
50940,236
50950,109
50970,31
50980,183
50990,77
51000,926
51010,5327
51020,42
51030,0
51040,418
51060,1736
51100,1554529
55000,14146
55020,1149
55040,172293
55100,659798
55110,636612
55130,1237
55140,701010
55150,2123562
55190,1324
55210,0
55230,24616505
55370,11732
56400,8134892
57000,3080
57200,12651
57300,1429339
57400,1213474
57600,289886
57620,63598
57640,33566
57650,93383
57680,18090
57690,2853513
57700,3096
57730,31048
57740,325588
57800,7633
57900,673659
57970,11054
58200,13390
58230,19228
58300,5676
58400,5431
58510,110119
58520,396265
58540,163178
58550,31391
58560,9421
58570,6640
58610,524770
60340,7560
60350,3117
60600,1668
60700,2800
60800,17205
61000,17854
61010,10164
61100,19665
61220,1949
61230,131
61310,10991
61500,31293
61510,33840
61520,43926
61530,1090
61600,11695
61700,95358
61730,8675
62000,32188
62100,60610
63000,54568
63110,5100
63200,494279
63380,3200706
63500,93097
63600,9842
63610,16729
63620,92
63630,56
63640,220
63650,6892
63660,5291
63700,75019
63710,334605
63800,61941
63900,12602
63910,166778
63940,64886
63950,90442
63960,14832
64000,1465887
65070,1140
65080,1304
65100,6340
65200,992
65260,679
65270,35109
65300,191822
65400,2851
65500,4763
65530,24185
65540,36606
65560,14460
65600,18698
65610,3971
65700,71592
65710,521
65720,75880
65730,56419
65740,108611
65780,24728
65790,221406
65800,14978973
65930,599072
65950,83215
65980,2994359
67000,10971
67370,739805
70000,1167320
70100,135720
70110,109788
70120,87065
70200,12478
70210,23944
70300,208191
70400,563410
70420,33859
70500,3371
70600,228129
70620,32156
70640,4319
70650,3635
70660,12132
70900,62849
71000,73352
71230,12414
71240,5135
71250,173548
71260,7497
71270,2719913
71320,0
71340,739904
71390,81512
71420,27876
72000,42848
72200,1659361
72300,44437
72400,1445
72500,2029
72850,136678626
72900,10757
73000,0
73010,174094
73020,146441
73060,8188
73170,261306
73190,2629
73210,27866
73220,71900
73230,51627
78000,801439
80000,15839
80200,30658
80300,8414
80310,37904
80330,19957
80340,12752
80350,15265
80360,14943
90100,30686
90200,160655
90400,1101
90500,11344
90530,35050
90800,208
91100,40783
91200,175080
91310,10227991
91330,157347
91600,1413934
91700,606225
91800,4133
91810,7128
91900,116087
92000,50430
92100,57190
92200,2456
92210,5334
92220,3293
92300,52130
92400,783
92600,5380
92700,1562
92800,414131
92900,6877
93200,163427
94000,2161
94200,75476
94300,34220
94303,669
94304,0
94400,384803
94500,39462
94510,31956
94520,36537
94530,28436
94590,27121
94600,14585
94610,8920
94620,7756
95000,27330
95300,49346
95400,81675
95500,9043
95700,945
95900,47953
96000,66536
96100,133763
96200,49467
96300,161443
96400,227876
96800,47283
96900,13626
97000,302457
97100,314468
97110,9684
97120,5475
97130,7253
97330,1501919
98100,8429
98200,400447
98300,161619
98400,106034
98500,5851
98510,15393
98600,55332
98800,894099
98900,3098
99100,15889
99120,409
99200,2348
99300,54861
99400,2476
99410,689
99700,35276
99810,357981
99830,245472
99890,128136
99900,17259605
99910,426680
99920,2344
100400,6544
100410,63313
100970,20850
100980,11370
102200,42659
102400,2106
102500,1581808
102600,1178406
102700,290982
102810,8775
102820,154635
102840,181460
102850,22649
104000,30761
104020,4255
104100,2138
104200,104089
104600,47347
104700,2052392
104900,2201887
105000,18297
105100,5204
105200,0
105300,10914
105400,1102181
105420,11664
105430,1149734
105450,4981071
105600,154974541
105700,3167
105800,38695
106000,12699
106010,13322
107000,2372
107100,2077335
107200,1084333
107300,34709
107310,170330
107400,158413
107410,67331904
107430,67
107600,26468
107800,75519
107900,736924
108100,2532
108110,5450
108200,137760
108210,16322
108500,71993
108600,1766219
108700,44184
108710,1006373
108800,1603614
109200,892
109400,1605125
109410,32517
109500,1462
109600,6467508
109700,4038
110400,11962
110500,74272
110600,1436
110610,758
110630,1226
110800,2124648
111000,1683
111010,1780
111100,28636
111300,1121
111400,35522
111600,34422
111800,139427
111900,93275
112100,64968
113020,1381756
113200,16383565
113400,14347147
113420,1564340
113900,29602
115100,221209
115110,169820
115120,96503
115200,8949
115210,13686
115220,7602
115320,750946
116100,9492
116120,2850
200010,297910
200020,168
200050,13741
200060,6338
200080,8178
200130,19990
200150,2978
200170,1292431
200190,3182
200210,20181207
200230,28656
200260,5270681
200330,172
200350,3473
200370,115711
200390,31742
200410,4875
200490,394
200510,15027555
200530,27024
200550,16858
200630,4586
200670,19918
200710,9095339
200900,368381
200910,77619
200940,58466
200960,16986
200980,3393
200990,1049
201000,4870
201010,11539
201020,315198
201040,11945
201070,3817
201190,43614
201210,128112
201230,683117
201280,152553
201290,291015
201310,579687
201330,19
201420,60847
201480,14684
201490,19397
201510,13167
201570,147446
201700,243223
201760,226693
201790,4293449
201810,2496902
201830,88023
201870,1437744
202070,8898
202090,1068078
202130,80412
202170,4766319
202200,308370
202270,46906
202310,52570
202370,416
202410,4931
202530,110133
202570,0
202670,1868
202690,19297
202710,162363
202730,9474
202750,172910
202860,6008
202970,2826514
202990,38641656
203140,5655705
203160,5428088
203210,49888
203250,63697
203290,1978793
203350,116215
203510,45513
203560,6454
203630,544778
203650,48452
203680,17852
203730,101516
203750,125390
203770,9877451
203810,81969
203830,30059
203850,98418
203990,10835
204030,933478
204060,64872
204080,354429
204100,2099391
204120,81739
204140,36787
204180,70322
204220,15744
204240,88156
204300,9799567
204340,189079
204360,6952338
204390,3889
204440,8601
204450,747512
204510,122
204530,143888
204560,15159
204580,181
204630,188488
204760,85
204840,5262
204860,24311
204880,3359659
204940,4731
204960,5693
205020,6420
205060,12724
205070,12638
205080,13577
205090,9689
205100,7512341
205180,1
205190,206925
205230,103062
205250,3660
205270,6328
205330,6330
205350,111400
205530,12125
205550,29313
205590,32179
205610,142609
205650,72530
205690,10112
205710,67833
205730,48044
205790,545892
205810,28187
205830,3696
205840,8035
205870,10302
205890,143519
205910,158612
205930,208158
205950,143854
205990,65930
206020,10156
206040,4835
206060,5222
206180,0
206190,778670
206210,1810865
206230,1400
206250,13374
206270,0
206370,43003
206410,4340
206420,12615516
206440,247287
206480,951191
206500,3235652
206610,65418
206690,42203
206740,5501
206760,4643
206940,0
206950,0
206960,0
206970,0
206980,56828
207000,1594
207020,9669
207040,12385
207060,54579
207080,141565
207140,3275625
207150,48280
207170,612163
207190,5932
207210,208395
207230,888680
207241,0
207250,87086
207320,50725
207350,150875
207370,17323
207380,20189
207400,31754
207420,44702
207430,63625
207490,154794
207530,14392
207570,17299
207610,4826868
207650,120098
207670,1147
207690,78759
207710,267
207730,4690
207750,72192
207790,5224
207890,2707499
207930,40011
208030,39520
208090,7398801
208110,3106
208140,1863047
208200,504006
208400,61477
208460,1248
208480,3981399
208500,599314
208520,248760
208580,2439848
208600,31410
208610,191873
208620,2113
208630,3280
208640,3650
208650,2096888
208670,43358
208710,6554
208730,122922
208750,81750
208860,2736
209000,3953442
209060,43546
209080,3425754
209100,90713
209120,159613
209160,794339
209170,4314824
209190,112013
209230,4753
209270,751137
209330,58012
209340,8723
209360,5201
209370,68154
209390,8715
209520,101259
209540,158585
209610,3151
209630,19019
209650,727347
209660,3808965
209670,321598
209690,21700
209710,122617
209730,25366
209750,1967
209790,20462
209830,45987
209850,2248
209870,10605796
209950,112411
210150,9337
210170,14304
210230,0
210350,4765
210390,1065
210410,420
210430,0
210490,1726
210550,33269
210770,2458733
210870,14637
210950,11681
210970,181577
210990,26651
211010,4097
211050,46619
211070,55
211120,202099
211140,1807
211160,81167
211180,12227
211260,93020
211280,9271
211340,53187
211360,56929
211380,2637
211400,302945
211420,14511426
211440,70835
211500,280832
211580,157442
211600,98074
211670,7544
211740,55555
211780,11801
211800,9599
211820,28222587
211880,687
211900,15054
211970,10124
212010,91628
212030,29875
212050,16379
212070,1527230
212110,16923
212160,3708302
212180,1462150
212200,1694382
212220,38883
212240,269
212370,14084
212390,223803
212410,19138
212480,981859
212500,2794339
212580,192290
212630,584804
212680,11340421
212700,21152
212780,51162
212800,385493
212910,9703160
213030,85930
213120,575143
213330,423444
213350,1102
213570,27
213610,378591
213650,202680
213670,3360381
213850,1843597
214100,16571
214130,15878
214150,10743
214170,46235
214190,267776
214210,28
214230,25690
214250,151577
214270,1389
214310,1105
214320,3656
214340,212499
214360,471018
214400,0
214420,602177
214490,975281
214510,547723
214550,61431
214560,1670838
214570,12886
214590,35800
214610,38895
214630,107407
214640,177857
214700,15407
214730,37510
214770,346805
214790,231460
214830,124783
214850,1685559
214870,133239
214910,40436
214950,17720202
214970,82199
215060,995
215080,1602296
215100,301398
215120,60566
215160,65183
215280,1692974
215374,1
215390,1447
215450,2888
215470,908722
215510,58474
215530,535066
215550,1338
215630,45200
215670,33372
215690,65978
215710,65297
215770,8585
215790,10059
215870,7399
215930,25036
216090,26565
216110,12541
216130,12518
216150,6133671
216210,33
216250,3118010
216260,950454
216290,5289
216370,672
216390,133654
216570,0
216610,0
216670,17022
216890,894678
216910,41518
216930,1137
217060,31748
217080,27797
217100,31383
217120,34
217140,139242
217200,290804
217270,2451
217290,9782
217490,115300
217690,60854
217750,49236
217790,16015
217860,14638
217920,23119
217980,27913
218020,3405
218040,26398
218060,324256
218090,66046
218130,327094
218170,108630
218210,15226
218230,41441966
218310,104168
218330,133325
218410,171761
218450,40166
218461,0
218470,228132
218510,21338
218620,99763914
218640,267385
218660,11675
218680,2593257
218700,1184
218740,63510
218820,223342
218860,12
218980,10871
219070,1536
219150,2685425
219190,33559
219200,46531
219340,45508
219540,1375563
219600,1246994
219640,18877012
219680,34395
219700,10717
219740,11916827
219760,9673
219780,241528
219800,20158
219830,1467420
219870,42070
219890,662334
219910,40816
219950,4988
219990,1643157
220050,148126
220090,34627
220160,1012438
220200,15695706
220240,12185296
220260,1638693
220420,273
220440,820705
220460,77160
220660,288916
220680,0
220700,1947406
220740,83291
220780,383302
220820,213019
220823,3
220824,2
220860,322894
220900,18085
220960,2678
220980,31
221020,517912
221040,1558107
221080,157711
221100,36440994
221180,20080
221200,1163
221220,182
221260,828909
221300,37422
221340,1350
221360,11223
221380,12658783
221430,73293
221540,143004
221560,11363
221640,1061136
221680,1296157
221790,11352
221810,105629
221830,8594
221910,1355777
222140,44665
222160,7160
222180,1721
222420,23133
222440,35083
222480,321017
222500,4
222520,487482
222640,17251
222660,30979
222710,87505
222730,547725
222750,1170696
222820,8986
222880,11321864
222900,1343806
222940,191910
222980,171020
223000,89048
223100,103544
223140,0
223220,89945
223280,5279
223330,2022
223390,195795
223410,21143
223430,29600
223450,2617
223470,2132096
223490,19915
223510,43574
223530,142357
223630,46541
223650,88578
223670,528031
223710,1104636
223730,21504
223750,265976
223810,53972
223830,356216
223850,206251
223870,32778
224040,1469
224060,644156
224220,60511
224260,7945670
224300,13931
224320,93875
224340,3011
224360,194
224380,18715
224420,249120
224440,55957
224460,43458
224480,622577
224500,588579
224540,7254821
224580,1401885
224600,4050364
224700,3634
224740,43145
224760,564218
224820,103028
224860,39611
224900,7723
224920,21684
224940,12300
224960,57948
224980,20265
225000,22343
225020,17837
225080,187942
225140,443196
225160,137512
225180,2853
225200,2165
225220,70742
225260,919161
225280,83269
225300,46697
225320,32906
225360,40321
225420,303575
225540,3586540
225600,557980
225640,186765
225760,715
225840,635875
226100,37711
226120,11179
226320,3897182
226560,20822
226580,181375
226620,183153
226700,8626005
226720,161983
226740,43710
226760,22159
226780,3386
226820,2413
226840,919382
226860,432981
226960,45662
226980,298702
227000,23786
227020,20664
227060,40587
227080,36862
227100,730917
227160,82260
227180,320742
227200,38314
