years,genres,playtime_forever
2015,Casual,82515351
2015,Design &amp; Illustration,1540351
2015,Early Access,13731510
2015,Education,36083
2015,Free to Play,119440426
2015,Indie,175545832
2015,Massively Multiplayer,40943661
2015,Photo Editing,671
2015,RPG,153274502
2015,Racing,37910911
2015,Simulation,92931549
2015,Software Training,36605
2015,Sports,41795973
2015,Strategy,83073870
2015,Utilities,579512
2015,Video Production,1671790
2015,Web Publishing,348861
2016,Action,97032723
2016,Adventure,62757674
2016,Animation &amp; Modeling,115627
2016,Audio Production,459
2016,Casual,44475794
2016,Design &amp; Illustration,113524
2016,Early Access,9902785
2016,Education,2324
2016,Free to Play,23537093
2016,Indie,90559411
2016,Massively Multiplayer,22305897
2016,Photo Editing,39183
2016,RPG,56660823
2016,Racing,3670219
2016,Simulation,36356670
2016,Software Training,481
2016,Sports,4763913
2016,Strategy,31806073
2016,Utilities,117920
2016,Video Production,1380
2016,Web Publishing,136
2017,Action,127853760
2017,Adventure,93938301
2017,Casual,51545965
2017,Design &amp; Illustration,21
2017,Early Access,34462
2017,Education,9713
2017,Free to Play,87312570
2017,Indie,127094134
2017,Massively Multiplayer,64266355
2017,RPG,68349598
2017,Racing,116343
2017,Simulation,24745462
2017,Software Training,9713
2017,Sports,22876
2017,Strategy,5936675
2017,Utilities,9734
2017,Web Publishing,9713
2018,Action,2224
2018,Adventure,21
2018,Early Access,6128
2018,Indie,2327
2018,RPG,3822
2018,Simulation,2203
