yearsReviews,sentimiento,item_name
2014,2,Wolfenstein 3D
2015,2,Wolfenstein 3D
2013,0,The Ultimate DOOM
2014,4,The Ultimate DOOM
2015,6,The Ultimate DOOM
2012,2,Final DOOM
2010,2,DOOM II: Hell on Earth
2012,2,DOOM II: Hell on Earth
2015,2,DOOM II: Hell on Earth
2012,1,Quake
2014,2,Quake
2015,0,Quake
2012,2,Quake II
2012,6,The Ship
2013,4,The Ship
2014,15,The Ship
2015,5,The Ship
2014,4,The Ship Single Player
2012,2,Bloody Good Time
2014,4,Bloody Good Time
2014,2,Shadowgrounds
2015,2,Alpha Prime
2012,3,Vampire: The Masquerade - Bloodlines
2014,6,Vampire: The Masquerade - Bloodlines
2015,1,Vampire: The Masquerade - Bloodlines
2012,2,GUN
2012,1,Call of Duty
2014,0,Call of Duty
2015,4,Call of Duty
2014,1,Call of Duty 2
2013,2,Call of Duty: United Offensive
2015,2,Call of Duty: United Offensive
2012,2,RollerCoaster Tycoon 3: Platinum!
2013,4,RollerCoaster Tycoon 3: Platinum!
2014,2,RollerCoaster Tycoon 3: Platinum!
2015,5,RollerCoaster Tycoon 3: Platinum!
2011,2,Neverwinter Nights 2: Platinum
2015,2,X3: Reunion
2015,2,X3: Terran Conflict
2013,2,X Rebirth
2015,4,X Rebirth
2012,0,FlatOut 2
2013,0,FlatOut 2
2014,5,FlatOut 2
2015,2,FlatOut 2
2014,2,Xpand Rally Xtreme
2015,2,King's Bounty: Armored Princess
2012,2,Safecracker: The Ultimate Puzzle Adventure
2012,2,Insaniquarium! Deluxe
2014,0,Insaniquarium! Deluxe
2015,3,Insaniquarium! Deluxe
2015,2,BookWorm Deluxe
2014,2,Feeding Frenzy 2: Shipwreck Showdown Deluxe
2015,2,Feeding Frenzy 2: Shipwreck Showdown Deluxe
2015,2,Typer Shark! Deluxe
2014,0,Bookworm Adventures Deluxe
2013,4,Peggle Deluxe
2014,4,Peggle Deluxe
2011,2,Peggle Extreme
2012,0,Peggle Extreme
2013,5,Peggle Extreme
2014,3,Peggle Extreme
2015,1,Peggle Extreme
2012,2,Plants vs. Zombies: Game of the Year
2014,2,Plants vs. Zombies: Game of the Year
2015,7,Plants vs. Zombies: Game of the Year
2012,2,Zuma's Revenge
2014,1,Zuma's Revenge
2012,4,Sniper Elite
2015,2,Judge Dredd: Dredd vs Death
2013,2,Evil Genius
2014,2,Evil Genius
2012,2,Aliens versus Predator Classic 2000
2013,2,Aliens versus Predator Classic 2000
2014,6,Aliens versus Predator Classic 2000
2015,2,Aliens versus Predator Classic 2000
2014,2,Advent Rising
2011,2,Psychonauts
2012,4,Psychonauts
2013,10,Psychonauts
2014,10,Psychonauts
2012,2,Sid Meier's Civilization IV
2013,4,Sid Meier's Civilization IV
2014,2,Sid Meier's Civilization IV
2015,2,Sid Meier's Civilization IV
2010,2,Sid Meier's Civilization III: Complete
2012,0,Sid Meier's Civilization III: Complete
2013,0,Sid Meier's Civilization III: Complete
2014,4,Sid Meier's Civilization III: Complete
2014,2,Sid Meier's Pirates!
2015,2,Sid Meier's Pirates!
2010,5,Garry's Mod
2011,33,Garry's Mod
2012,294,Garry's Mod
2013,560,Garry's Mod
2014,1200,Garry's Mod
2015,556,Garry's Mod
2011,2,S.T.A.L.K.E.R.: Shadow of Chernobyl
2012,3,S.T.A.L.K.E.R.: Shadow of Chernobyl
2014,4,S.T.A.L.K.E.R.: Shadow of Chernobyl
2015,1,S.T.A.L.K.E.R.: Shadow of Chernobyl
2013,2,Titan Quest
2014,2,Titan Quest
2015,2,Titan Quest
2012,2,Titan Quest: Immortal Throne
2014,2,Titan Quest: Immortal Throne
2015,2,Titan Quest: Immortal Throne
2011,6,Company of Heroes
2012,4,Company of Heroes
2013,10,Company of Heroes
2014,10,Company of Heroes
2015,7,Company of Heroes
2012,3,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
2013,6,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
2014,6,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
2015,6,"Warhammer 40,000: Dawn of War - Game of the Year Edition"
2012,1,"Warhammer 40,000: Dawn of War – Dark Crusade"
2014,13,"Warhammer 40,000: Dawn of War – Dark Crusade"
2015,7,"Warhammer 40,000: Dawn of War – Dark Crusade"
2011,2,Medieval II: Total War
2012,6,Medieval II: Total War
2013,5,Medieval II: Total War
2014,10,Medieval II: Total War
2015,12,Medieval II: Total War
2012,2,Condemned: Criminal Origins
2011,2,Rome: Total War
2012,3,Rome: Total War
2013,6,Rome: Total War
2014,6,Rome: Total War
2015,8,Rome: Total War
2013,1,S.T.A.L.K.E.R.: Shadow of Chernobyl
2013,2,Cossacks: Back to War
2012,7,Natural Selection 2
2013,22,Natural Selection 2
2014,35,Natural Selection 2
2015,3,Natural Selection 2
2012,5,STAR WARS™ Republic Commando
2013,2,STAR WARS™ Republic Commando
2014,4,STAR WARS™ Republic Commando
2015,10,STAR WARS™ Republic Commando
2012,3,STAR WARS™ Jedi Knight: Jedi Academy™
2014,9,STAR WARS™ Jedi Knight: Jedi Academy™
2015,4,STAR WARS™ Jedi Knight: Jedi Academy™
2011,2,STAR WARS™ Jedi Knight II: Jedi Outcast™
2012,1,STAR WARS™ Jedi Knight II: Jedi Outcast™
2015,2,STAR WARS™ Jedi Knight II: Jedi Outcast™
2011,2,STAR WARS™ Battlefront™ II
2012,19,STAR WARS™ Battlefront™ II
2013,17,STAR WARS™ Battlefront™ II
2014,73,STAR WARS™ Battlefront™ II
2015,39,STAR WARS™ Battlefront™ II
2015,0,Shank
2012,2,Vegas: Make It Big
2012,2,FlatOut
2013,2,FlatOut
2014,2,FlatOut
2015,2,FlatOut
2012,2,The Longest Journey
2013,1,The Longest Journey
2015,2,Bloodline Champions
2013,2,Nexus: The Jupiter Incident
2012,2,Devil May Cry 3: Special Edition
2014,1,Devil May Cry 3: Special Edition
2015,2,Commandos: Behind Enemy Lines
2012,2,Commandos 2: Men of Courage
2013,1,Hitman 2: Silent Assassin
2014,0,Hitman 2: Silent Assassin
2015,0,Hitman 2: Silent Assassin
2011,1,Hitman: Blood Money
2012,3,Hitman: Blood Money
2013,2,Hitman: Blood Money
2014,3,Hitman: Blood Money
2015,12,Hitman: Blood Money
2011,2,Just Cause
2012,1,Just Cause
2014,3,Just Cause
2015,2,Just Cause
2011,2,Deus Ex: Game of the Year Edition
2012,3,Deus Ex: Game of the Year Edition
2013,2,Deus Ex: Game of the Year Edition
2014,10,Deus Ex: Game of the Year Edition
2015,5,Deus Ex: Game of the Year Edition
2012,2,Thief: Deadly Shadows
2014,2,Thief: Deadly Shadows
2012,2,Tomb Raider: Legend
2014,2,Tomb Raider: Legend
2012,2,Rogue Trooper
2010,2,TrackMania United
2014,2,TrackMania United
2012,4,X-Blades
2013,1,X-Blades
2012,2,Two Worlds II
2013,2,Two Worlds II
2014,2,Two Worlds II
2015,2,Sid Meier's Railroads!
2012,2,X-COM: Apocalypse
2011,2,BioShock
2012,15,BioShock
2013,18,BioShock
2014,50,BioShock
2015,24,BioShock
2013,2,X-COM: Interceptor
2011,2,X-COM: UFO Defense
2012,2,X-COM: UFO Defense
2015,0,X-COM: UFO Defense
2014,0,X-COM: Enforcer
2011,2,Men of War
2012,2,Men of War
2014,0,Men of War
2013,1,Death Track: Resurrection
2013,0,NecroVisioN
2014,1,NecroVisioN
2012,6,Call of Duty 4: Modern Warfare
2013,3,Call of Duty 4: Modern Warfare
2014,9,Call of Duty 4: Modern Warfare
2015,6,Call of Duty 4: Modern Warfare
2015,2,Tomb Raider: Anniversary
2015,4,Kane & Lynch: Dead Men
2014,2,Battlestations: Pacific
2015,1,Battlestations: Pacific
2011,6,Just Cause 2
2012,27,Just Cause 2
2013,69,Just Cause 2
2014,114,Just Cause 2
2015,41,Just Cause 2
2014,2,Bone: Out from Boneville
2013,2,Strong Bad Episode 1: Homestar Ruiner
2014,6,Geometry Wars: Retro Evolved
2011,2,EVE Online
2012,3,EVE Online
2013,5,EVE Online
2015,6,EVE Online
2013,4,RACE 07
2014,1,RACE 07
2010,2,Sid Meier's Civilization IV: Beyond the Sword
2013,2,Sid Meier's Civilization IV: Beyond the Sword
2012,5,BioShock 2
2013,2,BioShock 2
2014,8,BioShock 2
2015,6,BioShock 2
2012,18,BioShock Infinite
2013,112,BioShock Infinite
2014,202,BioShock Infinite
2015,89,BioShock Infinite
2014,2,Freedom Force
2010,2,Sid Meier's Civilization V
2011,4,Sid Meier's Civilization V
2012,62,Sid Meier's Civilization V
2013,94,Sid Meier's Civilization V
2014,260,Sid Meier's Civilization V
2015,109,Sid Meier's Civilization V
2011,9,Borderlands
2012,21,Borderlands
2013,17,Borderlands
2014,13,Borderlands
2015,12,Borderlands
2015,0,Return to Castle Wolfenstein
2011,2,DOOM 3
2015,2,DOOM 3
2014,0,Master Levels for DOOM II
2011,2,Commander Keen Complete Pack
2013,2,Commander Keen Complete Pack
2015,2,Commander Keen Complete Pack
2011,3,RAGE
2013,10,RAGE
2014,8,RAGE
2015,3,RAGE
2013,2,Supreme Commander
2014,4,Supreme Commander
2015,0,Supreme Commander
2012,5,Supreme Commander: Forged Alliance
2013,2,Supreme Commander: Forged Alliance
2014,10,Supreme Commander: Forged Alliance
2015,4,Supreme Commander: Forged Alliance
2012,2,"Warhammer 40,000: Dawn of War – Soulstorm"
2014,4,"Warhammer 40,000: Dawn of War – Soulstorm"
2015,8,"Warhammer 40,000: Dawn of War – Soulstorm"
2014,2,Frontlines: Fuel of War
2011,8,Saints Row 2
2012,2,Saints Row 2
2013,6,Saints Row 2
2014,23,Saints Row 2
2015,16,Saints Row 2
2013,2,Gish
2012,2,The Chronicles of Riddick: Assault on Dark Athena
2012,2,Ghostbusters: The Video Game
2014,3,Ghostbusters: The Video Game
2011,2,Champions Online
2012,2,Champions Online
2014,2,Champions Online
2012,2,Star Trek Online
2013,8,Star Trek Online
2014,16,Star Trek Online
2015,8,Star Trek Online
2014,4,Test Drive Unlimited 2
2015,6,Test Drive Unlimited 2
2014,2,Blade Kitten
2012,15,Call of Duty: World at War
2013,14,Call of Duty: World at War
2014,24,Call of Duty: World at War
2015,31,Call of Duty: World at War
2014,2,TimeShift
2015,2,TimeShift
2011,0,3D Ultra Minigolf Adventures Deluxe
2010,2,Prototype
2012,2,Prototype
2013,2,Prototype
2014,9,Prototype
2015,0,Prototype
2011,5,Call of Duty: Modern Warfare 2
2012,23,Call of Duty: Modern Warfare 2
2013,17,Call of Duty: Modern Warfare 2
2014,49,Call of Duty: Modern Warfare 2
2015,30,Call of Duty: Modern Warfare 2
2014,2,Postal 3
2010,0,Empire: Total War
2011,1,Empire: Total War
2012,7,Empire: Total War
2013,14,Empire: Total War
2014,15,Empire: Total War
2015,16,Empire: Total War
2011,4,Aliens vs. Predator
2012,11,Aliens vs. Predator
2013,4,Aliens vs. Predator
2014,9,Aliens vs. Predator
2015,14,Aliens vs. Predator
2012,4,TrackMania Nations Forever
2013,4,TrackMania Nations Forever
2014,11,TrackMania Nations Forever
2015,7,TrackMania Nations Forever
2014,2,Sherlock Holmes: The Awakened - Remastered
2010,0,Blood Bowl: Dark Elves Edition
2012,1,Gumboy Tournament
2014,0,Gumboy Tournament
2014,2,Space Trader: Merchant Marine
2012,3,Penguins Arena: Sedna's World
2014,6,Penguins Arena: Sedna's World
2015,2,Penguins Arena: Sedna's World
2014,2,Obulis
2014,2,Larva Mortus
2013,2,Chains
2014,0,Clive Barker's Jericho
2011,2,Overlord
2013,0,Overlord
2014,4,Overlord
2015,2,Overlord
2012,2,Hospital Tycoon
2015,2,Hospital Tycoon
2012,4,Dragon Nest
2013,7,Dragon Nest
2014,11,Dragon Nest
2015,15,Dragon Nest
2012,6,Grand Theft Auto III
2013,2,Grand Theft Auto III
2014,4,Grand Theft Auto III
2015,3,Grand Theft Auto III
2012,2,Grand Theft Auto: Vice City
2013,1,Grand Theft Auto: Vice City
2014,10,Grand Theft Auto: Vice City
2015,12,Grand Theft Auto: Vice City
2012,7,Grand Theft Auto: San Andreas
2013,10,Grand Theft Auto: San Andreas
2014,24,Grand Theft Auto: San Andreas
2015,12,Grand Theft Auto: San Andreas
2014,0,Manhunt
2013,2,Max Payne
2014,2,Max Payne
2015,0,Max Payne
2012,2,Midnight Club II
2012,7,Bully: Scholarship Edition
2013,8,Bully: Scholarship Edition
2014,19,Bully: Scholarship Edition
2015,8,Bully: Scholarship Edition
2012,7,Grand Theft Auto IV
2013,24,Grand Theft Auto IV
2014,65,Grand Theft Auto IV
2015,14,Grand Theft Auto IV
2011,2,Grand Theft Auto: Episodes from Liberty City
2012,2,Grand Theft Auto: Episodes from Liberty City
2013,2,Grand Theft Auto: Episodes from Liberty City
2014,6,Grand Theft Auto: Episodes from Liberty City
2015,2,Grand Theft Auto: Episodes from Liberty City
2015,2,DarkStar One
2014,2,Jack Keane
2012,2,FlatOut: Ultimate Carnage
2013,2,FlatOut: Ultimate Carnage
2014,2,FlatOut: Ultimate Carnage
2012,0,SlamIt Pinball: Big Score
2011,6,Puzzle Quest
2014,2,Sprint Cars: Road to Knoxville
2011,4,GRID
2012,9,GRID
2013,4,GRID
2014,2,GRID
2015,0,GRID
2013,2,FUEL
2011,0,Overlord II
2012,2,Overlord II
2011,2,Operation Flashpoint: Dragon Rising
2014,2,Operation Flashpoint: Dragon Rising
2010,2,Audiosurf
2011,10,Audiosurf
2012,10,Audiosurf
2013,18,Audiosurf
2014,17,Audiosurf
2015,7,Audiosurf
2011,2,America's Army 3
2012,2,America's Army 3
2013,2,America's Army 3
2014,3,America's Army 3
2015,3,America's Army 3
2012,2,Unreal Tournament 3: Black Edition
2013,2,Unreal Tournament 3: Black Edition
2014,4,Unreal Tournament 3: Black Edition
2012,4,Unreal Tournament 2004
2013,1,Unreal Tournament 2004
2014,2,Unreal Tournament 2004
2015,4,Unreal Tournament 2004
2015,2,Unreal Gold
2012,2,Prince of Persia: Warrior Within
2011,2,Tom Clancy's Ghost Recon: Advanced Warfighter 2
2012,2,Far Cry
2014,2,Far Cry
2015,2,Far Cry
2010,2,Tom Clancy's Splinter Cell: Chaos Theory
2014,3,Tom Clancy's Splinter Cell: Chaos Theory
2015,4,Tom Clancy's Splinter Cell: Chaos Theory
2011,2,Prince of Persia: The Sands of Time
2014,4,Prince of Persia: The Sands of Time
2012,2,Assassin's Creed
2014,3,Assassin's Creed
2015,2,Assassin's Creed
2013,4,Tom Clancy's Rainbow Six: Vegas 2
2014,2,Tom Clancy's Rainbow Six: Vegas 2
2015,0,Tom Clancy's Rainbow Six: Vegas 2
2013,2,Beyond Good & Evil
2014,2,Beyond Good & Evil
2015,2,Petz Catz 2
2015,2,Heroes of Might & Magic V
2014,2,Silent Hunter: Wolves of the Pacific
2014,2,Tom Clancy's Ghost Recon
2010,2,IL-2 Sturmovik: 1946
2012,2,IL-2 Sturmovik: 1946
2014,5,IL-2 Sturmovik: 1946
2015,4,IL-2 Sturmovik: 1946
2012,0,Brothers in Arms: Hell's Highway
2014,2,Brothers in Arms: Hell's Highway
2015,2,Brothers in Arms: Hell's Highway
2011,2,AaAaAA!!! - A Reckless Disregard for Gravity
2015,2,AaAaAA!!! - A Reckless Disregard for Gravity
2014,1,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
2015,2,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
2011,5,"Warhammer® 40,000™: Dawn of War® II"
2012,4,"Warhammer® 40,000™: Dawn of War® II"
2013,2,"Warhammer® 40,000™: Dawn of War® II"
2014,4,"Warhammer® 40,000™: Dawn of War® II"
2015,5,"Warhammer® 40,000™: Dawn of War® II"
2011,2,Oddworld: Abe's Oddysee
2012,2,Oddworld: Abe's Oddysee
2013,4,Oddworld: Abe's Oddysee
2014,16,Oddworld: Abe's Oddysee
2015,8,Oddworld: Abe's Oddysee
2011,2,Oddworld: Abe's Exoddus
2012,4,Oddworld: Abe's Exoddus
2014,2,Oddworld: Abe's Exoddus
2015,2,Oddworld: Abe's Exoddus
2014,2,Oddworld: Stranger's Wrath HD
2015,6,Oddworld: Stranger's Wrath HD
2014,2,Plant Tycoon
2012,0,F.E.A.R. 2: Project Origin
2012,2,Trials 2: Second Edition
2014,2,Insecticide Part 1
2012,2,Velvet Assassin
2014,3,Velvet Assassin
2014,4,Legendary
2015,2,Legendary
2013,0,Sid Meier's Civilization IV: Colonization
2011,2,Global Agenda
2014,3,Global Agenda
2015,2,Global Agenda
2012,16,Tribes: Ascend
2013,29,Tribes: Ascend
2014,25,Tribes: Ascend
2015,15,Tribes: Ascend
2012,2,Children of the Nile
2012,0,Crysis
2014,6,Crysis
2015,2,Crysis
2012,2,Crysis Warhead
2013,1,Crysis Warhead
2015,1,Crysis Warhead
2012,6,Spore
2013,5,Spore
2014,38,Spore
2015,7,Spore
2010,0,Mirror's Edge
2012,14,Mirror's Edge
2013,16,Mirror's Edge
2014,55,Mirror's Edge
2015,19,Mirror's Edge
2013,2,Need for Speed: Undercover
2013,1,Spore: Creepy & Cute Parts Pack
2015,2,Spore: Creepy & Cute Parts Pack
2010,2,Dragon Age: Origins
2013,2,Dragon Age: Origins
2014,4,Dragon Age: Origins
2011,2,Mass Effect
2012,12,Mass Effect
2013,8,Mass Effect
2014,10,Mass Effect
2011,0,Dead Space
2012,3,Dead Space
2013,11,Dead Space
2014,8,Dead Space
2015,4,Dead Space
2012,3,Command and Conquer: Red Alert 3
2013,6,Command and Conquer: Red Alert 3
2014,2,Command and Conquer: Red Alert 3
2015,8,Command and Conquer: Red Alert 3
2012,3,"Pirates, Vikings, & Knights II"
2013,2,"Pirates, Vikings, & Knights II"
2014,6,"Pirates, Vikings, & Knights II"
2015,5,"Pirates, Vikings, & Knights II"
2013,3,Dystopia
2014,2,Dystopia
2011,2,Nuclear Dawn
2013,2,Nuclear Dawn
2015,0,Nuclear Dawn
2013,2,"On the Rain-Slick Precipice of Darkness, Episode One"
2012,2,"On the Rain-Slick Precipice of Darkness, Episode Two"
2014,0,"On the Rain-Slick Precipice of Darkness, Episode Two"
2014,0,DeathSpank
2014,3,Shattered Horizon
2013,2,Unstoppable Gorg
2013,0,Defense Grid: The Awakening
2014,2,Defense Grid: The Awakening
2015,2,Defense Grid: The Awakening
2015,2,And Yet It Moves
2014,3,Zero Gear
2015,2,Zero Gear
2015,1,Silent Hill: Homecoming
2011,1,Alice: Madness Returns
2012,3,Alice: Madness Returns
2013,2,Alice: Madness Returns
2014,6,Alice: Madness Returns
2015,7,Alice: Madness Returns
2014,2,Tom Clancy's Rainbow Six 3: Gold Edition
2013,5,Far Cry 2
2014,7,Far Cry 2
2015,2,Far Cry 2
2012,3,Red Faction: Guerrilla Steam Edition
2014,2,Red Faction: Guerrilla Steam Edition
2015,11,Red Faction: Guerrilla Steam Edition
2011,2,S.T.A.L.K.E.R.: Clear Sky
2012,6,S.T.A.L.K.E.R.: Clear Sky
2014,2,S.T.A.L.K.E.R.: Clear Sky
2015,2,S.T.A.L.K.E.R.: Clear Sky
2013,2,Red Faction
2014,2,Red Faction
2015,2,Company of Heroes: Tales of Valor
2011,4,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
2012,0,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
2013,2,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
2014,2,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
2015,1,"Warhammer® 40,000™: Dawn of War® II - Chaos Rising™"
2014,2,Rugby Challenge
2011,4,The Witcher: Enhanced Edition
2012,6,The Witcher: Enhanced Edition
2013,0,The Witcher: Enhanced Edition
2014,14,The Witcher: Enhanced Edition
2015,13,The Witcher: Enhanced Edition
2011,2,The Witcher 2: Assassins of Kings Enhanced Edition
2012,8,The Witcher 2: Assassins of Kings Enhanced Edition
2013,9,The Witcher 2: Assassins of Kings Enhanced Edition
2014,29,The Witcher 2: Assassins of Kings Enhanced Edition
2015,7,The Witcher 2: Assassins of Kings Enhanced Edition
2014,4,LEGO Batman: The Videogame
2015,2,LEGO Batman: The Videogame
2012,2,F.E.A.R.
2013,0,F.E.A.R.
2014,3,F.E.A.R.
2015,3,F.E.A.R.
2012,0,F.E.A.R. 3
2013,2,F.E.A.R. 3
2014,6,F.E.A.R. 3
2015,2,F.E.A.R. 3
2012,1,Gotham City Impostors
2011,2,Street Fighter IV
2014,2,Street Fighter IV
2012,2,Resident Evil 5 / Biohazard 5
2013,2,Resident Evil 5 / Biohazard 5
2014,2,Resident Evil 5 / Biohazard 5
2015,2,Resident Evil 5 / Biohazard 5
2013,2,Driver: Parallel Lines
2010,2,R.U.S.E
2011,1,R.U.S.E
2012,3,R.U.S.E
2013,1,R.U.S.E
2014,4,R.U.S.E
2015,0,R.U.S.E
2012,2,World of Goo
2013,4,World of Goo
2014,6,World of Goo
2011,2,Mount & Blade
2012,2,Mount & Blade
2013,2,Mount & Blade
2014,2,Mount & Blade
2015,2,Mount & Blade
2012,2,Penumbra: Black Plague
2014,2,Penumbra: Black Plague
2015,2,Penumbra: Black Plague
2013,2,Penumbra: Overture
2014,2,Penumbra: Overture
2015,2,Penumbra: Overture
2011,6,Zeno Clash
2012,2,Zeno Clash
2013,2,Zeno Clash
2015,0,Zeno Clash
2013,0,Rock of Ages
2014,2,Rock of Ages
2015,0,Rock of Ages
2012,6,Fallout 3
2013,4,Fallout 3
2014,16,Fallout 3
2015,18,Fallout 3
2012,4,The Elder Scrolls III: Morrowind
2013,4,The Elder Scrolls III: Morrowind
2014,10,The Elder Scrolls III: Morrowind
2015,10,The Elder Scrolls III: Morrowind
2011,4,The Elder Scrolls IV: Oblivion 
2013,2,The Elder Scrolls IV: Oblivion 
2014,14,The Elder Scrolls IV: Oblivion 
2015,11,The Elder Scrolls IV: Oblivion 
2012,2,Call of Cthulhu: Dark Corners of the Earth
2011,4,BRINK
2012,0,BRINK
2014,1,BRINK
2011,4,Fallout 3 - Game of the Year Edition
2012,11,Fallout 3 - Game of the Year Edition
2013,14,Fallout 3 - Game of the Year Edition
2014,28,Fallout 3 - Game of the Year Edition
2015,41,Fallout 3 - Game of the Year Edition
2010,2,Fallout: New Vegas
2011,6,Fallout: New Vegas
2012,48,Fallout: New Vegas
2013,35,Fallout: New Vegas
2014,101,Fallout: New Vegas
2015,94,Fallout: New Vegas
2015,2,Hunted: The Demon's Forge
2010,3,Worms Reloaded
2011,0,Worms Reloaded
2012,2,Worms Reloaded
2013,2,Worms Reloaded
2014,4,Worms Reloaded
2015,4,Worms Reloaded
2013,2,Alien Breed: Impact
2014,0,Alien Breed 2: Assault
2011,2,Droplitz
2013,2,The Last Remnant
2014,0,The Last Remnant
2014,3,Grand Ages: Rome
2014,0,Tropico 3 - Steam Special Edition
2015,1,Tropico 3 - Steam Special Edition
2014,2,Earth Defense Force: Insect Armageddon
2010,2,Train Simulator
2012,7,Train Simulator
2013,5,Train Simulator
2014,11,Train Simulator
2015,11,Train Simulator
2011,4,PAYDAY: The Heist
2012,19,PAYDAY: The Heist
2013,39,PAYDAY: The Heist
2014,115,PAYDAY: The Heist
2015,33,PAYDAY: The Heist
2013,2,Trainz: Murchison 2
2014,4,Trainz Simulator 12
2015,4,Spore: Galactic Adventures
2011,2,Burnout Paradise: The Ultimate Box
2012,2,Burnout Paradise: The Ultimate Box
2013,12,Burnout Paradise: The Ultimate Box
2014,34,Burnout Paradise: The Ultimate Box
2015,6,Burnout Paradise: The Ultimate Box
2012,2,SimCity 4 Deluxe
2014,3,SimCity 4 Deluxe
2015,4,SimCity 4 Deluxe
2012,2,Command and Conquer 3: Tiberium Wars
2014,3,Command and Conquer 3: Tiberium Wars
2015,2,Command and Conquer 3: Tiberium Wars
2013,2,Command and Conquer: Red Alert 3 - Uprising
2015,1,Command and Conquer: Red Alert 3 - Uprising
2012,2,Command and Conquer 3: Kane's Wrath
2014,2,Command and Conquer 3: Kane's Wrath
2014,8,Medal of Honor: Airborne
2015,2,Medal of Honor: Airborne
2011,1,Battlefield 2
2013,10,Battlefield 2
2014,5,Battlefield 2
2015,6,Battlefield 2
2015,2,Need for Speed: SHIFT
2011,6,Battlefield: Bad Company 2
2012,2,Battlefield: Bad Company 2
