genres,item_id,title
Adventure,773650,The first thrust of God
Casual,773650,The first thrust of God
Indie,773650,The first thrust of God
Simulation,773650,The first thrust of God
Strategy,773650,The first thrust of God
Free to Play,774271,SNOW - Starter Pack
Indie,774271,SNOW - Starter Pack
Simulation,774271,SNOW - Starter Pack
Sports,774271,SNOW - Starter Pack
Adventure,773690,The first thrust of God - All Aircrafts
Casual,773690,The first thrust of God - All Aircrafts
Indie,773690,The first thrust of God - All Aircrafts
Simulation,773690,The first thrust of God - All Aircrafts
Strategy,773690,The first thrust of God - All Aircrafts
Free to Play,774279,SNOW - Lifetime Pack
Indie,774279,SNOW - Lifetime Pack
Simulation,774279,SNOW - Lifetime Pack
Sports,774279,SNOW - Lifetime Pack
Action,768060,The Warrior Of Treasures
Adventure,768060,The Warrior Of Treasures
Indie,768060,The Warrior Of Treasures
Racing,775880,RC Plane 3 - Canyon Scenario
Simulation,775880,RC Plane 3 - Canyon Scenario
Sports,775880,RC Plane 3 - Canyon Scenario
Racing,775881,RC Plane 3 - F-53B
Simulation,775881,RC Plane 3 - F-53B
Sports,775881,RC Plane 3 - F-53B
Action,653960,DinoBlaster
Indie,653960,DinoBlaster
Action,282010,Carmageddon Max Pack
Indie,282010,Carmageddon Max Pack
Racing,282010,Carmageddon Max Pack
Action,70,Half-Life
Action,752360,Fallen Mage
Indie,752360,Fallen Mage
RPG,752360,Fallen Mage
Casual,520680,Lost Cities
Indie,520680,Lost Cities
Strategy,520680,Lost Cities
Action,690410,Twisted Enhanced Edition
Casual,766850,Vaporwave Simulator
Indie,766850,Vaporwave Simulator
Simulation,766850,Vaporwave Simulator
Action,413120,Tactics Forever
Casual,413120,Tactics Forever
Indie,413120,Tactics Forever
Massively Multiplayer,413120,Tactics Forever
Simulation,413120,Tactics Forever
Sports,413120,Tactics Forever
Strategy,413120,Tactics Forever
Adventure,773120,Christmas Santa Troubles
Casual,773120,Christmas Santa Troubles
Indie,773120,Christmas Santa Troubles
Action,754360,Underdone - Soundtrack
Adventure,754360,Underdone - Soundtrack
RPG,754360,Underdone - Soundtrack
Adventure,716110,Bitcoin Clicker
Casual,716110,Bitcoin Clicker
Indie,716110,Bitcoin Clicker
RPG,716110,Bitcoin Clicker
Strategy,1640,Disciples II: Gallean's Return
Strategy,1630,Disciples II: Rise of the Elves
Action,2400,The Ship: Murder Party
Indie,2400,The Ship: Murder Party
RPG,2400,The Ship: Murder Party
Action,759920,Souland
Indie,759920,Souland
Strategy,759920,Souland
Early Access,759920,Souland
Action,659780,Darkness and a Crowd
Adventure,659780,Darkness and a Crowd
Indie,659780,Darkness and a Crowd
RPG,659780,Darkness and a Crowd
Strategy,659780,Darkness and a Crowd
Action,603280,TAROTICA VOO DOO
Adventure,603280,TAROTICA VOO DOO
Indie,603280,TAROTICA VOO DOO
RPG,603280,TAROTICA VOO DOO
Casual,753110,Chronicles of Vinland
Strategy,753110,Chronicles of Vinland
Early Access,753110,Chronicles of Vinland
Action,753100,Orbitality
Indie,753100,Orbitality
Action,764280,Atomic Adam: Episode 1
Adventure,764280,Atomic Adam: Episode 1
Casual,764280,Atomic Adam: Episode 1
Adventure,758550,Mirt. Tales of the Cold Land. Chapter 2
Casual,758550,Mirt. Tales of the Cold Land. Chapter 2
Free to Play,758550,Mirt. Tales of the Cold Land. Chapter 2
Indie,758550,Mirt. Tales of the Cold Land. Chapter 2
Action,3800,Advent Rising
Indie,1520,DEFCON
Strategy,1520,DEFCON
Action,2420,The Ship: Single Player
Indie,2420,The Ship: Single Player
RPG,2420,The Ship: Single Player
Indie,4000,Garry's Mod
Simulation,4000,Garry's Mod
Racing,4230,RACE - The WTCC Game
Casual,4900,Zen of Sudoku
Indie,4900,Zen of Sudoku
Casual,2520,Gumboy - Crazy Adventures™
Indie,2520,Gumboy - Crazy Adventures™
Strategy,6200,Ghost Master®
Strategy,6210,Vegas: Make It Big™
Adventure,6300,Dreamfall: The Longest Journey
RPG,6300,Dreamfall: The Longest Journey
Racing,2990,FlatOut 2™
Racing,6220,FlatOut
Action,6510,Lost Planet™: Extreme Condition
Adventure,6510,Lost Planet™: Extreme Condition
Strategy,3980,CivCity: Rome
RPG,1700,Arx Fatalis
Action,6310,The Longest Journey
Adventure,6310,The Longest Journey
RPG,6310,The Longest Journey
Strategy,3990,Civilization IV®: Warlords
Strategy,7610,Railroad Tycoon 3
Strategy,7600,Sid Meier's Railroads!
Strategy,7620,Railroad Tycoon II Platinum
Casual,2540,RIP - Trilogy™
Indie,2540,RIP - Trilogy™
Strategy,7650,X-COM: Terror From the Deep
Action,8000,Tomb Raider: Anniversary
Adventure,8000,Tomb Raider: Anniversary
Action,6550,Devil May Cry® 3 Special Edition
Action,8200,Sam &amp; Max 101: Culture Shock
Adventure,8200,Sam &amp; Max 101: Culture Shock
Action,2290,Final DOOM
Indie,2570,Vigil: Blood Bitterness™
RPG,2570,Vigil: Blood Bitterness™
Action,8210,Sam &amp; Max 102: Situation: Comedy
Adventure,8210,Sam &amp; Max 102: Situation: Comedy
Action,2280,Ultimate Doom
Action,9160,Master Levels for Doom II
Action,2300,DOOM II
Action,2270,Wolfenstein 3D
Action,9010,Return to Castle Wolfenstein
Action,9040,QUAKE Mission Pack 1: Scourge of Armagon
Action,9000,Spear of Destiny
Action,3810,BloodRayne
Action,9030,QUAKE Mission Pack 2: Dissolution of Eternity
Action,2310,QUAKE
Strategy,3230,Genesis Rising
Strategy,9310,"Warhammer® 40,000: Dawn of War® – Winter Assault"
Action,7670,BioShock™
RPG,7670,BioShock™
Strategy,4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
Strategy,4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
Strategy,4760,Rome: Total War™ - Collection
Strategy,4770,Rome: Total War™ - Alexander
Casual,50970,Mystery Case Files: Madame Fate®
Action,12170,Grand Theft Auto
Action,12180,Grand Theft Auto 2
Action,12130,Manhunt
Racing,12160,Midnight Club 2
Action,12150,Max Payne 2: The Fall of Max Payne
Action,7000,Tomb Raider: Legend
Adventure,7000,Tomb Raider: Legend
Action,12140,Max Payne
Strategy,17480,Command &amp; Conquer: Red Alert 3
Casual,12500,PuzzleQuest: Challenge of the Warlords
RPG,12310,Culpa Innata
Casual,12310,Culpa Innata
Adventure,12310,Culpa Innata
Strategy,12510,Prison Tycoon 3™: Lockdown
Action,12530,Hunting Unlimited™ 2008
Adventure,12530,Hunting Unlimited™ 2008
Strategy,12530,Hunting Unlimited™ 2008
Racing,12520,18 Wheels of Steel: American Long Haul
Action,8100,Conflict: Denied Ops
Action,2780,ARMA: Combat Operations
Simulation,9730,Tycoon City: New York
Action,9710,Desperados 2: Cooper's Revenge
Action,9800,Death to Spies
Adventure,9800,Death to Spies
Action,9760,Act of War: High Treason
Simulation,2700,RollerCoaster Tycoon® 3: Platinum
Strategy,2700,RollerCoaster Tycoon® 3: Platinum
Action,2710,Act of War: Direct Action
Action,13200,Unreal 2: The Awakening
Action,13250,Unreal Gold
Casual,13000,Ninja Reflex: Steamworks Edition
Indie,13000,Ninja Reflex: Steamworks Edition
Action,13560,Tom Clancy's Splinter Cell®
Action,13520,Far Cry®
Action,13240,Unreal Tournament: Game of the Year Edition
Action,13540,Tom Clancy's Rainbow Six® Vegas
Simulation,15210,Silent Hunter® III
Casual,16180,Virtual Villagers - The Secret City
Simulation,16180,Virtual Villagers - The Secret City
Casual,3520,Mystery P.I.™ - The Vegas Heist
Casual,15970,Luxor
Casual,15950,Reaxxion
Casual,15960,Little Farm
Casual,15900,7 Wonders II
Casual,15910,Luxor Amun Rising
Casual,15930,Luxor 3
Simulation,15160,Petz® Horsez® 2
Casual,15920,Luxor 2
Action,15080,Rayman Raving Rabbids™
Adventure,15080,Rayman Raving Rabbids™
Simulation,15200,Silent Hunter®: Wolves of the Pacific
Simulation,15320,IL-2 Sturmovik: 1946
Simulation,15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions
Adventure,8310,Bone: Out From Boneville
Racing,12600,Midnight Outlaw: 6 Hours to SunUp
Adventure,8320,Bone: The Great Cow Race
Racing,12590,Sprint Cars Road to Knoxville
Simulation,12560,Ride! Carnival Tycoon
Casual,12540,Mahjongg Investigations: Under Suspicion
Adventure,11050,Dracula Origin
Sports,10520,Beijing 2008™ - The Official Video Game of the Olympic Games
Adventure,11040,Sherlock Holmes - Nemesis
RPG,11040,Sherlock Holmes - Nemesis
Adventure,19500,Eternity's Child
Indie,19500,Eternity's Child
Simulation,11260,Pacific Storm Allies
Strategy,11260,Pacific Storm Allies
Action,19200,Tank Universal
Indie,19200,Tank Universal
Racing,12360,FlatOut: Ultimate Carnage
Adventure,15710,Oddworld: Abe's Exoddus®
Adventure,15700,Oddworld: Abe's Oddysee®
Racing,8660,GTR Evolution Expansion Pack for RACE 07
Strategy,7770,X-COM: Enforcer
Strategy,7660,X-COM: Apocalypse
Strategy,7760,X-COM: UFO Defense
Action,20510,S.T.A.L.K.E.R.: Clear Sky
RPG,20510,S.T.A.L.K.E.R.: Clear Sky
Action,17330,Crysis Warhead®
Action,17300,Crysis
Strategy,7730,X-COM: Interceptor
Action,20900,The Witcher: Enhanced Edition Director's Cut
RPG,20900,The Witcher: Enhanced Edition Director's Cut
Indie,1530,Multiwinia
Racing,8690,STCC - The Game 1 - Expansion Pack for RACE 07
Strategy,17120,Children of the Nile: Alexandria
Simulation,17120,Children of the Nile: Alexandria
Strategy,16810,Sid Meier's Civilization IV: Colonization
Action,19830,Tom Clancy's Rainbow Six® 3 Gold
Action,21000,LEGO Batman
Adventure,21000,LEGO Batman
Simulation,4460,City Life 2008
Strategy,4460,City Life 2008
RPG,17140,Hinterland
Strategy,17140,Hinterland
Action,15390,Brothers in Arms: Hell's Highway™
Indie,21300,Gravitron 2
Casual,21300,Gravitron 2
Racing,3050,Xpand Rally Xtreme
Strategy,15380,Heroes of Might &amp; Magic V: Hammers of Fate
Action,19800,Brothers in Arms: Earned in Blood™
Strategy,15370,Heroes of Might &amp; Magic V: Tribes of the East
Strategy,19930,The Settlers®: Rise Of An Empire Gold Edition
Casual,15350,Brain Spa
Action,19810,The Sum of All Fears
Casual,3540,Peggle™ Nights
Indie,22000,World of Goo
Action,2820,X3: Terran Conflict
Simulation,2820,X3: Terran Conflict
Strategy,2820,X3: Terran Conflict
Action,1230,Mare Nostrum
Casual,18300,Spectraball
Indie,18300,Spectraball
Indie,20200,Galactic Bowling
Casual,20200,Galactic Bowling
Sports,20200,Galactic Bowling
Action,12200,Bully: Scholarship Edition
Adventure,12200,Bully: Scholarship Edition
Action,19900,Far Cry® 2: Fortune's Edition
Action,11240,Space Trader: Merchant Marine
Indie,11240,Space Trader: Merchant Marine
Strategy,11240,Space Trader: Merchant Marine
Simulation,256522,PRR Wagon Pack 01
Simulation,275144,"Class 421 London South East ""Jaffa Cake"""
Simulation,256521,ATSF Wagon Pack 01
Simulation,222569,GP20 Union Pacific Add-on Livery
Simulation,256535,UK Van Wagon Pack
Simulation,256611,CSX SD70MAC Add-on Livery
Simulation,256576,CSX ES44AC Add-on Livery
Action,9480,Saints Row 2
Action,17470,Dead Space
RPG,12770,Rise of the Argonauts
Action,17410,Mirror's Edge™
Adventure,17410,Mirror's Edge™
Indie,18500,Defense Grid: The Awakening
Strategy,18500,Defense Grid: The Awakening
Action,16450,F.E.A.R. 2: Project Origin
Strategy,15400,Harvest: Massive Encounter
Indie,15400,Harvest: Massive Encounter
Indie,18600,Mayhem Intergalactic
Strategy,18600,Mayhem Intergalactic
Action,11340,Larva Mortus
Indie,11340,Larva Mortus
Strategy,25830,Knights of Honor
Action,23460,Ceville
Adventure,23460,Ceville
Strategy,23460,Ceville
Strategy,10600,Empire: Total War™ - Special Forces Units &amp; Bonus Content
Action,21010,Watchmen: The End is Nigh
Action,22180,Penumbra Overture
Adventure,22180,Penumbra Overture
Indie,22180,Penumbra Overture
Action,13210,Unreal Tournament 3 Black
RPG,12640,Drakensang
Casual,21600,Age of Booty™
Strategy,21600,Age of Booty™
Indie,27020,The Graveyard
Simulation,27020,The Graveyard
Racing,24740,Burnout Paradise: The Ultimate Box
Action,90047,Zombie Master
Action,26000,The Maw
Indie,26000,The Maw
Action,26006,The Maw: River Redirect
Indie,26006,The Maw: River Redirect
Action,26005,The Maw: Brute Force
Indie,26005,The Maw: Brute Force
Casual,11330,Obulis
Indie,11330,Obulis
Indie,27800,Space Giraffe
Simulation,9850,Codename: Panzers - Cold War
Strategy,9850,Codename: Panzers - Cold War
Casual,3600,Escape Rosecliff Island
RPG,29580,Guild Wars Nightfall®
Massively Multiplayer,29580,Guild Wars Nightfall®
RPG,29540,Guild Wars® Game of the Year Edition
Massively Multiplayer,29540,Guild Wars® Game of the Year Edition
RPG,29560,Guild Wars Factions®
Massively Multiplayer,29560,Guild Wars Factions®
Massively Multiplayer,29570,Guild Wars Trilogy
RPG,29570,Guild Wars Trilogy
Casual,23700,Puzzle Kingdoms
Casual,16060,Samantha Swift and the Golden Touch
RPG,1930,Two Worlds Epic Edition
Strategy,18470,Helldorado
Action,7510,X-Blades
Adventure,7510,X-Blades
RPG,7510,X-Blades
Action,22200,Zeno Clash
Indie,22200,Zeno Clash
Indie,26007,The Maw: Speeder Lane
RPG,25900,King's Bounty: The Legend
Strategy,25900,King's Bounty: The Legend
Casual,16200,Virtual Families
Simulation,16200,Virtual Families
Racing,7840,Death Track®: Resurrection
RPG,8890,Freedom Force vs. the Third Reich
Strategy,8890,Freedom Force vs. the Third Reich
RPG,8880,Freedom Force
Strategy,8880,Freedom Force
Indie,34500,Light of Altair
Simulation,34500,Light of Altair
Strategy,34500,Light of Altair
Action,1280,Darkest Hour: Europe '44-'45
Simulation,1280,Darkest Hour: Europe '44-'45
Action,10150,Prototype™
Adventure,10150,Prototype™
Strategy,12470,Port Royale 2
RPG,22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition
RPG,22320,The Elder Scrolls III: Morrowind® Game of the Year Edition
Adventure,12440,Ankh 2: Heart of Osiris
Simulation,32710,Armored Fist 3
Simulation,32740,MiG-29 Fulcrum
Strategy,12460,BC Kings
Action,21980,Call of Juarez®: Bound in Blood
Adventure,31860,Nancy Drew®: Legend of the Crystal Skull
Adventure,31900,Nancy Drew®: The Creature of Kapu Cave
Adventure,31920,Nancy Drew®: The Phantom of Venice
Adventure,31930,Nancy Drew®: The White Wolf of Icicle Creek
Casual,35800,BRAINPIPE: A Plunge to Unhumanity
Indie,35800,BRAINPIPE: A Plunge to Unhumanity
Simulation,12690,Hunting Unlimited 2010
Sports,12690,Hunting Unlimited 2010
Adventure,31170,Tales of Monkey Island Complete Pack
Action,21660,Street Fighter® IV
Action,6080,Thrillville®: Off the Rails™
Adventure,6080,Thrillville®: Off the Rails™
Racing,6080,Thrillville®: Off the Rails™
Simulation,6080,Thrillville®: Off the Rails™
Strategy,6080,Thrillville®: Off the Rails™
Adventure,6010,Indiana Jones® and the Fate of Atlantis™
Action,6090,Armed and Dangerous®
Action,6060,"Star Wars: Battlefront 2 (Classic, 2005)"
Adventure,32310,Indiana Jones® and the Last Crusade™
Action,32330,LEGO® Indiana Jones™: The Original Adventures
Adventure,32330,LEGO® Indiana Jones™: The Original Adventures
Adventure,32360,The Secret of Monkey Island: Special Edition
Strategy,35300,Warfare
Action,35310,Clutch
Racing,35310,Clutch
Adventure,31980,Nancy Drew®: Ransom of the Seven Ships
Adventure,31990,Nancy Drew®: Ransom of the Seven Ships Demo
Sports,10140,3D Ultra™ Minigolf Adventures
Adventure,10100,King's Quest™ Collection
Action,10130,TimeShift™
Adventure,10110,Space Quest™ Collection
Action,1256,Killing Floor Outbreak Character Pack
Action,10120,Aces of the Galaxy™
Casual,10120,Aces of the Galaxy™
Simulation,33520,Tropico Reloaded
Strategy,33520,Tropico Reloaded
Casual,3610,Mystery P.I. - Lost in Los Angeles
Action,21680,Bionic Commando: Rearmed
Action,21670,Bionic Commando
Adventure,21670,Bionic Commando
Action,21030,Watchmen: The End is Nigh Part 2
Action,36000,Foreign Legion: Buckets of Blood
Indie,36000,Foreign Legion: Buckets of Blood
Adventure,32370,STAR WARS™ - Knights of the Old Republic™
RPG,32370,STAR WARS™ - Knights of the Old Republic™
Indie,29180,Osmos
Casual,29180,Osmos
RPG,38410,Fallout 2: A Post Nuclear Role Playing Game
Strategy,38420,Fallout Tactics: Brotherhood of Steel
Action,38430,Kingpin — Life of Crime
Action,35050,Mini Ninjas Demo
Adventure,35050,Mini Ninjas Demo
Adventure,31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
Casual,37960,Jewel Quest Pack
Casual,38000,Mahjong Quest Collection
Adventure,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
Indie,37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
Action,13570,Tom Clancy's Splinter Cell Chaos Theory®
Action,11390,Crash Time 2
Racing,11390,Crash Time 2
Strategy,34420,XIII Century – Gold Edition
Simulation,43100,World of Zoo
Simulation,33730,18 Wheels of Steel: Extreme Trucker
Action,35000,Mini Ninjas
Adventure,35000,Mini Ninjas
Casual,39392,Freeze Tag Fun Pack #2
Casual,39391,Freeze Tag Fun Pack #1
Adventure,37600,Windosill
Casual,37600,Windosill
Indie,37600,Windosill
Simulation,24029,Train Simulator: Colton &amp; Northern Route Add-On
Adventure,32140,Midnight Mysteries
Casual,32140,Midnight Mysteries
Adventure,31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
Action,32770,Joint Operations: Combined Arms Gold
Simulation,208306,Train Simulator: US Loco &amp; Asset Pack
Simulation,37300,DinerTown Tycoon
Simulation,208300,Train Simulator: European Loco &amp; Asset Pack
RPG,40300,Risen
Casual,35070,Flora's Fruit Farm
Strategy,10606,Empire: Total War™ - The Warpath Campaign
Adventure,40700,Machinarium
Indie,40700,Machinarium
Action,24840,Medal of Honor: Airborne
Racing,24870,Need for Speed: Shift
RPG,41500,Torchlight
Strategy,24800,Command &amp; Conquer: Red Alert 3 - Uprising
Strategy,901735,The Stronghold Collection
Strategy,42800,East India Company: Privateer
Action,39560,Painkiller: Resurrection
RPG,39550,SpellForce 2 - Anniversary Edition
Strategy,39550,SpellForce 2 - Anniversary Edition
Adventure,40330,Secret Files: Tunguska
Strategy,40320,Rush for Berlin Gold
Adventure,31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood
Strategy,3130,Men of War: Red Tide
Action,41100,Hammerfight
Indie,41100,Hammerfight
Action,39540,SpellForce - Platinum Edition
RPG,39540,SpellForce - Platinum Edition
Strategy,34640,Massive Assault: Phantom Renaissance
Strategy,34630,Massive Assault
Action,41000,Serious Sam HD: The First Encounter
Indie,41000,Serious Sam HD: The First Encounter
Adventure,40340,Secret Files 2: Puritas Cordis
RPG,17450,Dragon Age: Origins
Action,37100,Aztaka
RPG,37100,Aztaka
Indie,37100,Aztaka
Indie,37500,Magnetis
Casual,37500,Magnetis
Strategy,42810,For The Glory: A Europa Universalis Game
Action,10180,Call of Duty®: Modern Warfare® 2
Adventure,32440,LEGO® Star Wars™ - The Complete Saga
RPG,11450,Overlord™
RPG,12710,Overlord™: Raising Hell
Strategy,24790,Command &amp; Conquer 3: Tiberium Wars
Indie,29120,Yumsters 2: Around the World
Casual,29120,Yumsters 2: Around the World
Strategy,24810,Command &amp; Conquer 3: Kane's Wrath
Indie,41800,Gratuitous Space Battles
Simulation,41800,Gratuitous Space Battles
Strategy,41800,Gratuitous Space Battles
Simulation,45300,Wings of Prey
Action,41900,The Bard's Tale
Adventure,41900,The Bard's Tale
RPG,41900,The Bard's Tale
Action,35420,Defence Alliance 2
Action,32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
RPG,22370,Fallout 3: Game of the Year Edition
Strategy,41802,Gratuitous Space Battles: The Tribe
Indie,41802,Gratuitous Space Battles: The Tribe
Simulation,41802,Gratuitous Space Battles: The Tribe
Simulation,38080,Build-A-Lot
Simulation,38090,Build-A-Lot 2: Town of the Year
Simulation,38100,Build-A-Lot 3: Passport to Europe
Casual,38070,Coconut Queen
Simulation,38070,Coconut Queen
Casual,38210,Roogoo
Action,45700,Devil May Cry 4
Adventure,45700,Devil May Cry 4
Action,46410,Avencast: Rise of the Mage
Indie,46410,Avencast: Rise of the Mage
RPG,46410,Avencast: Rise of the Mage
Simulation,38110,Build-A-Lot 4: Power Source
Action,17570,"Pirates, Vikings, and Knights II"
Free to Play,17570,"Pirates, Vikings, and Knights II"
Indie,17570,"Pirates, Vikings, and Knights II"
Casual,38130,Farm Frenzy 2
Casual,38160,Farm Frenzy 3: American Pie
Casual,38150,Farm Frenzy 3
Casual,38120,Farm Frenzy
Casual,38140,Farm Frenzy: Pizza Party
Casual,36300,Cake Mania Main Street™
Strategy,36310,Westward® IV: All Aboard
Casual,36310,Westward® IV: All Aboard
Adventure,36320,Iron Roses
Casual,36320,Iron Roses
Strategy,37030,UFO: Extraterrestrials Gold
Adventure,32450,LEGO® Indiana Jones™ 2: The Adventure Continues
Sports,34180,Vancouver 2010™ - The Official Video Game of the Olympic Winter Games
Action,44100,Super Laser  Racer
Indie,44100,Super Laser  Racer
Racing,44100,Super Laser  Racer
Strategy,25960,Hearts of Iron III: Soviet Infantry Pack DLC
Action,46250,NecroVisioN: Lost Company
Casual,38180,Cradle of Persia
Action,10695,Aliens vs. Predator Swarm Map Pack
Action,41050,Serious Sam Classic: The First Encounter
Indie,41050,Serious Sam Classic: The First Encounter
Simulation,24055,Train Simulator: Fort Kent to Eagle Lake Route Add-On
Action,48700,Mount &amp; Blade: Warband
RPG,48700,Mount &amp; Blade: Warband
Action,39900,Coniclysm
Action,49900,Plain Sight
Indie,49900,Plain Sight
Action,42120,Lead and Gold: Gangs of the Wild West
Action,12220,Grand Theft Auto: Episodes from Liberty City
Action,45730,Dark Void™ Zero
Adventure,45730,Dark Void™ Zero
Indie,45400,Fortix
Action,49600,Beat Hazard
Casual,49600,Beat Hazard
Indie,49600,Beat Hazard
Adventure,901399,Sam &amp; Max: The Devil’s Playhouse
Simulation,43500,M.U.D. TV
Strategy,43500,M.U.D. TV
Simulation,45302,Wings of Luftwaffe Add-on
Adventure,40930,The Misadventures of P.B. Winterbottom
Indie,40930,The Misadventures of P.B. Winterbottom
Action,39640,AquaNox 2: Revelation
Action,39630,AquaNox
Casual,23150,Fluttabyes
Indie,23150,Fluttabyes
Casual,50940,Hidden Expedition: Titanic
Casual,50920,Hidden Expedition: Amazon
Indie,50920,Hidden Expedition: Amazon
Strategy,34178,Napoleon: Total War™ - Coalition Battle Pack
Casual,37340,Fitness Dash™
Casual,37390,Gemini Lost™
Casual,37310,DinerTown Detective Agency™
Casual,37360,Mahjong Roadshow™
Casual,49000,Hotel Dash™ Suite Success™
Casual,37330,Nightshift Legacy: The Jaguar's Eye™
Casual,37320,The Nightshift Code™
Casual,37370,TriJinx: A Kristine Kross Mystery™
Casual,37380,Valerie Porter and the Scarlet Scandal™
Action,19080,Biozone
Adventure,19080,Biozone
Casual,19080,Biozone
Action,31700,Iron Grip: Warlord
Indie,31700,Iron Grip: Warlord
Action,19030,Rocket Knight
Adventure,19030,Rocket Knight
Indie,50820,Max and the Magic Marker
Action,49800,Flight of the Icarus
Indie,49800,Flight of the Icarus
Casual,33650,Puzzler World
Action,901478,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition
Adventure,901478,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition
Casual,33660,Ziro
Indie,33660,Ziro
Action,34281,Altered Beast™
Action,34272,Comix Zone™
Action,34270,SEGA Mega Drive and Genesis Classics
Adventure,34270,SEGA Mega Drive and Genesis Classics
Casual,34270,SEGA Mega Drive and Genesis Classics
RPG,34270,SEGA Mega Drive and Genesis Classics
Action,34276,Golden Axe™
Action,34274,Ecco the Dolphin™
Strategy,34275,Gain Ground™
Action,34277,Shinobi™ III: Return of the Ninja Master
Action,34273,Crack Down™
Action,34280,VectorMan™
Action,34282,Shadow Dancer™
Action,34279,Space Harrier™ II
Action,34010,Alpha Protocol™
RPG,34010,Alpha Protocol™
Action,22610,Alien Breed: Impact
RPG,22440,Fallout 3 - Point Lookout
Strategy,18508,Defense Grid: Resurgence Map Pack 1
Indie,18508,Defense Grid: Resurgence Map Pack 1
RPG,22430,Fallout 3 - Mothership Zeta
RPG,22410,Fallout 3 - Broken Steel
RPG,22420,Fallout 3 - The Pitt
Action,630,Alien Swarm
RPG,22400,Fallout 3 - Operation Anchorage
Simulation,24780,SimCity™ 4 Deluxe Edition
Strategy,24780,SimCity™ 4 Deluxe Edition
Strategy,33670,Disciples III - Renaissance Steam Special Edition
RPG,33670,Disciples III - Renaissance Steam Special Edition
Casual,40420,Tidalis
Indie,40420,Tidalis
Action,34920,Razor2: Hidden Skies
Casual,34920,Razor2: Hidden Skies
Indie,34920,Razor2: Hidden Skies
Strategy,48136,The Settlers 7: Uncharted Land Map Pack
RPG,46720,Dimensity
Action,28000,Kane &amp; Lynch 2: Dog Days
Simulation,39680,The Guild II Renaissance
Strategy,39680,The Guild II Renaissance
Strategy,25962,Hearts of Iron III DLC: German II Spritepack
Simulation,24634,Trainz Simulator DLC: Blue Comet
Strategy,63900,Fantasy Wars
Action,50130,Mafia II
Simulation,24075,Train Simulator: Network Southeast Class 47 Loco Add-On
RPG,47540,Puzzle Quest 2
Casual,47540,Puzzle Quest 2
Action,50510,Burn Zombie Burn!
Indie,25760,Madballs B*D*I Clan Skins
Indie,25763,Madballs Scorched Evolution Skin Rollup
Indie,25762,Madballs BDI Evolution Skin Rollup
Indie,25764,Madballs Holiday Skin Rollup
Strategy,42980,Victoria I Complete
Simulation,48800,Ship Simulator Extremes
